channel,network
wala,fox
knxv,abc
kpho,cbs
ksaz,fox
kpnx,nbc
kutp,united paramount net
kcop,united paramount net
ktla,warner bros.
kcal,pure independent
kabc,abc
kcbs,cbs
kttv,fox
knbc,nbc
kcet,pbs
kwhy,pure independent
ktvu,fox
kxtv,abc
ktxl,fox
kcra,nbc
kgtv,abc
kfmb,cbs
knsd,nbc
kswb,warners bros.
kgo,abc
kpix,cbs
kron,nbc
kqed,pbs
kbhk,united paramount net
kbwb,warner bros.
kicu,pure independent
kntv,pare independent
kovr,cbs
kmgh,abc
kdvr,fox
krma,pbs
wfsb,cbs
wtnh,abc
wjla,abc
wusa,cbs
wttg,fox
wrc,nbc
weta,pbs
whyy,pbs
wtlv,nbc
wplg,abc
wsvn,fox
wftv,abc
wofl,fox
wtsp,cbs
wfts,abc
wtvt,fox
wfla,nbc
wsb,abc
wgcl,cbs
waga,fox
wxia,nbc
wrdw,cbs
khvo,abc
kitv,abc
kmau,abc
wls,abc
wfld,fox
wmaq,nbc
wcpx,pax tv
wsns,telemundo
wgn,warner bros.
wgem,nbc
wrtv,abc
wish,cbs
wxin,fox
wthr,nbc
wndu,nbc
wkpc,pbs
wxix,fox
wlps,pbs
wcvb,abc
wbz,cbs
wfxt,fox
whdh,nbc
whub,pure independent
wgby,pbs
wmpt,pbs
wmar,abc
wjz,cbs
wbff,fox
wbal,nbc
wboc,cbs
wcbb,pbs
wxyz,abc
wwj,cbs
wjbk,fox
wdiv,nbc
wtvs,pbs
wood,nbc
wkbd,united paramount net
kmsp,united paramount net
kttc,nbc
kstp,abc
ktci,pbs
kcpt,pbs
kdnl,abc
kmov,cbs
ktvi,fox
ksdk,nbc
wmpn,pbs
wsoc,abc
wbtv,cbs
wccb,fox
wcnc,nbc
wtvd,abc
wncn,nbc
wctl,abc
wral,cbs
wraz,fox
kmtv,cbs
wenh,pbs
wmur,abc
wnjt,pbs
klas,cbs
knpb,pbs
wabc,abc
wcbs,cbs
wnyw,fox
wnbc,nbc
wpix,warner bros.
wcpo,abc
wkrc,cbs
wlwt,nbc
wews,abc
wjw,fox
wkyc,nbc
wbns,cbs
wmfd,pure independent
woio,cbs
kfor,nbc
koac,pbs
katu,abc
koin,sbs
kgw,nbc
kopb,pbs
kptv,united paramount net
wlvt,pbs
wfmz,pure independent
witf,pbs
wpvi,abc
kyw,cbs
wtxf,fox
wcau,nbc
wtae,abc
kdka,cbs
wpxi,nbc
wvia,pbs
wrlk,pbs
wspa,cbs
wkpt,abc
kxan,nbc
wfaa,abc
kdfw,fox
kera,pbs
kdaf,warner bros.
ktvt,cbs
kxas,nbc
ktxa,united paramount net
ktrk,abc
khou,cbs
kriv,fox
kprc,nbc
kbyu,pbs
ktvx,abc
ksl,nbc
wcyb,nbc
komo,abc
kiro,cbs
king,nbc
kcts,pbs
kxly,abc
kcpq,fox
kpdx,fox
wkow,abc
wisc,cbs
wtmj,nbc
wmvs,pbs